WCCcomponentID,channels_count,chat_count,message_count,duration_seconds,timestamp_start,timestamp_end
0,113,101728,1469112,165285701,1584270016,1749555717
14030,20,90,816,265077,1708546538,1708811615
22081,16,31,298,60337127,1669750757,1730087884
22090,15,31,287,186914,1728681909,1728868823
21932,15,26,338,136900,1727047109,1727184009
16537,15,83,482,29658635,1685091705,1714750340
13866,14,22,267,377779,1701800484,1702178263
23804,14,24,98,136246,1745335712,1745471958
21666,13,19,190,132930,1724105130,1724238060
16401,13,34,168,157470,1675807026,1675964496
19463,13,21,122,99280,1708869330,1708968610
16254,13,19,210,76403,1724795805,1724872208
14536,13,25,161,172205,1742836830,1743009035
18098,13,26,169,52038622,1689240198,1741278820
20946,13,36,500,202840,1719411393,1719614233
35860,12,21,146,148158,1731546219,1731694377
13826,12,20,198,110860,1701000181,1701111041
16256,12,24,251,22937250,1702388404,1725325654
13031,12,38,202,423159,1682377211,1682800370
21887,12,28,258,138358,1726480935,1726619293
22540,12,20,48,204337,1732067849,1732272186
58442,12,16,97,2168568,1665840440,1668009008
14052,11,24,249,188047,1709819996,1710008043
19356,11,16,138,164464,1708369628,1708534092
23561,11,21,106,82650,1742818628,1742901278
16618,11,27,236,262306,1699113933,1699376239
18163,11,20,269,6582468,1685179674,1691762142
14886,10,19,238,36144285,1673392574,1709536859
19627,10,16,110,107479,1709936330,1710043809
13893,10,17,160,286136,1702825664,1703111800
20808,10,25,241,106650,1718106583,1718213233
19671,10,24,208,175625,1710246379,1710422004
19079,10,19,181,45412,1706682165,1706727577
23652,10,23,215,713163,1743835753,1744548916
1503,10,27,101,13418462,1631306691,1644725153
18143,10,16,95,446776,1690650087,1691096863
21925,9,20,100,19291,1727032004,1727051295
17951,9,17,97,1060079,1686256431,1687316510
27861,9,67,1715,3978806,1667489200,1671468006
14901,9,24,71,523238,1677109039,1677632277
23872,9,17,115,14036,1746021783,1746035819
18351,9,30,287,270807,1693919818,1694190625
14483,9,17,150,195193,1741820720,1742015913
13450,9,16,142,17792219,1680657742,1698449961
20506,9,17,164,244739,1715376372,1715621111
21767,9,23,160,93967,1725014615,1725108582
14231,9,24,161,65088336,1675156607,1740244943
5516,8,50,137,14051700,1609584111,1623635811
14246,8,16,89,6344026,1716290889,1722634915
17027,8,19,120,90807,1674320778,1674411585
18104,8,29,137,18151207,1689709894,1707861101
20933,8,17,173,2538653,1719325323,1721863976
64431,8,18,141,1502172,1718352072,1719854244
18427,8,16,113,873066,1695829156,1696702222
17020,7,26,280,1325226,1674203820,1675529046
19295,7,18,149,29864,1708100348,1708130212
63126,7,23,104,7790720,1695919060,1703709780
19457,7,23,410,92319,1708892597,1708984916
21984,7,24,147,4772090,1727638208,1732410298
22048,7,19,189,18619,1728143777,1728162396
39897,7,18,117,336502,1616360841,1616697343
12586,7,42,267,3776130,1669291182,1673067312
21501,7,17,119,801828,1722616414,1723418242
18914,7,17,111,10959523,1704398210,1715357733
18117,6,18,110,562287,1690280882,1690843169
18137,6,20,84,516600,1690632479,1691149079
17075,6,16,56,45339,1674741633,1674786972
17418,6,19,55,1553942,1678392911,1679946853
60836,6,19,143,515469,1661960411,1662475880
2884,6,17,72,4861652,1666086857,1670948509
55744,6,16,114,671739,1652043713,1652715452
17620,6,16,65,178831,1680864069,1681042900
55706,5,19,98,60574640,1647389341,1707963981
18776,5,24,170,3292897,1698868716,1702161613
46097,5,24,140,7301184,1678235036,1685536220
29590,5,36,118,1560655,1683374613,1684935268
1717,5,16,110,197805,1657201825,1657399630
12201,5,96,423,3730523,1664450805,1668181328
26558,5,19,371,1990266,1642873840,1644864106
17003,4,17,92,526895,1673842805,1674369700
16890,4,31,910,308963,1628729220,1629038183
27137,4,32,346,1801320,1650675039,1652476359
9438,4,22,150,9387214,1631502320,1640889534
104038,4,16,57,367508,1680177097,1680544605
44177,4,19,82,265543,1653492321,1653757864
56007,4,18,141,12359948,1675691314,1688051262
64270,4,25,121,26009485,1717690721,1743700206
6011,4,25,254,121291784,1598064169,1719355953
18516,3,16,143,68625,1697745150,1697813775
9549,3,27,296,5595069,1639092259,1644687328
18393,3,16,347,48048940,1646842671,1694891611
27176,3,17,84,338436,1651159141,1651497577
28578,3,16,195,184243,1672851589,1673035832
39215,3,84,367,22032943,1704727888,1726760831
56778,3,21,88,1671764,1684652089,1686323853
60883,3,16,105,66390678,1663318636,1729709314
49934,3,29,94,3724544,1709927271,1713651815
77428,3,22,59,43534714,1627345218,1670879932
12092,3,21,60,1796429,1661217207,1663013636
57974,3,20,95,6633634,1632070378,1638704012
83528,3,30,444,36575481,1681308741,1717884222
14822,3,22,67,23844182,1647432241,1671276423
133996,3,42,550,12796031,1599960292,1612756323
12773,2,20,54,333496,1672800152,1673133648
12816,2,24,66,15129498,1673452892,1688582390
43563,2,17,52,357408,1645978944,1646336352
55862,2,20,56,83478940,1649961742,1733440682
89846,2,68,284,8565942,1632096485,1640662427
91447,2,27,100,1942439,1669308385,1671250824
65178,2,20,158,82762633,1661376461,1744139094
57128,2,30,125,1347590,1694488352,1695835942
84389,2,47,289,3177379,1706600853,1709778232
107628,2,149,5280,15632862,1584208976,1599841838
131902,2,17,579,71994,1588179392,1588251386
132208,2,56,2719,2378703,1589824629,1592203332
107635,2,251,4081,25488361,1592226893,1617715254
132874,2,16,373,133584,1593306785,1593440369
133253,2,17,158,77600,1595463856,1595541456
107647,2,101,2075,29069048,1596978241,1626047289
133864,2,25,414,620254,1599145762,1599766016
134792,2,30,615,18033574,1602719101,1620752675
110380,2,35,606,110772992,1605465682,1716238674
131919,2,47,1969,439431,1588258919,1588698350
131936,2,33,955,552625,1588347316,1588899941
107622,2,124,6074,114721166,1589211969,1703933135
107630,2,41,1947,1102941,1591549198,1592652139
132625,2,24,333,194501,1591949084,1592143585
107651,2,53,815,5026244,1593530854,1598557098
133122,2,24,421,1132791,1593669174,1594801965
132989,2,16,404,464523,1593883538,1594348061
133008,2,20,312,124853,1594041135,1594165988
133174,2,23,538,150302,1594960910,1595111212
107643,2,31,511,1794776,1595664865,1597459641
133349,2,34,873,184987,1596047647,1596232634
135025,2,23,213,1680354,1614716425,1616396779
4324,1,36,106,4894192,1674126062,1679020254
4363,1,27,48,9359920,1678672921,1688032841
4597,1,18,36,8090979,1699441223,1707532202
4685,1,66,111,21945598,1707791474,1729737072
